what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018953209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018953262
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018953305
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450018955429
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450018958077
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450018962537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018964911
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450018967098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018967129
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1450018967132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018970701
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018974921
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450018976803
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450018976875
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450018988988
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450018992274
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450018992402
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450018997637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019003739
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019006833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019012806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019127076
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019130631
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019135028
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019139428
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019154798
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019158524
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019161094
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019164265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019174693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019176268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019256819
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019292149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019296814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019413254
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019416672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019430222
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019436081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019525375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019528701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019528797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019530916
opened,view,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.debug.ui.PHPDebugOutput",1450019531162
activated,view,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.debug.ui.PHPDebugOutput",1450019531274
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1450019531376
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1450019531644
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1450019531678
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019534563
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1450019537927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1450019563677
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450019566611
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019566769
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1450019573923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019581520
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019583546
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450019583581
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019587319
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019589804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019589884
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1450019589894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019591261
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019597083
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019599527
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019599592
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1450019605790
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019607198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019613224
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450019613275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1450019615690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019616684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019621463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019624451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019808945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019815814
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019817299
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019817325
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1450019817343
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019823497
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019823550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019837167
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019841829
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450019865778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019867474
